algorithm,num_iteration,computational_time,objective_function_value
ECP,23,1.160656213760376,14.33913135717804
OP,13,0.39184141159057617,13.309949136583741
OPB,13,0.3903014659881592,13.309949136583741
GBD,21,0.1610245704650879,13.309949136583741
Gurobi,-,0.008496999740600586,13.309948428727486
ECP,20,1.7163701057434082,53.6796345288866
OP,16,1.1637279987335205,46.80343744269482
OPB,16,1.1483469009399414,46.80343744269482
GBD,43,0.8368279933929443,46.80343744269482
Gurobi,-,0.012059450149536133,46.803436311649605
ECP,13,1.2648704051971436,69.23691551847949
OP,18,2.754018783569336,62.66904850437506
OPB,18,2.7157065868377686,62.66904850437506
GBD,146,14.388536214828491,62.66904850437506
Gurobi,-,0.02239680290222168,62.66904843634268
